ip,plantName,dateSown,image,
1.2.1.6.0,Bean (Royal Burgundy),3/17/2015,greenbean.png,
1.2.1.6.2,Not Planted,,,
1.2.1.6.4,Bean (Royal Burgundy),3/17/2015,greenbean.png,
1.2.1.7.1,Not Planted,,,
1.2.1.7.3,Not Planted,,,
1.2.1.8.0,Not Planted,,,
1.2.1.8.2,Not Planted,,,
1.2.1.8.4,Not Planted,,,
1.2.1.9.1,Quinoa (Brilliant Rainbow),3/17/2015,quinoa.png,
1.2.1.9.3,Quinoa (Brilliant Rainbow),3/17/2015,quinoa.png,
1.2.1.10.0,Quinoa (Brilliant Rainbow),3/17/2015,quinoa.png,
1.2.1.10.2,Quinoa (Brilliant Rainbow),3/17/2015,quinoa.png,
1.2.1.10.4,Not Planted,,,
1.3.0.0.0,Tomato (Red Siberian),2/22/2015,tomato.png,
1.3.0.0.2,Tomato (Red Siberian),2/22/2015,tomato.png,
1.3.0.0.4,Tomato (Red Siberian),2/22/2015,tomato.png,
1.3.0.1.1,Not Planted,,,
1.3.0.1.3,Not Planted,,,
1.3.0.2.0,Not Planted,,,
1.3.0.2.2,Tomato (Siberian),1/6/2015,tomato.png,
1.3.0.2.4,Not Planted,,,
1.3.0.3.1,Not Planted,,,
1.3.0.3.3,Not Planted,,,
1.3.0.4.0,Tomato (Red Siberian),2/22/2015,tomato.png,
1.3.0.4.2,Not Planted,,,
1.3.0.4.4,Tomato (Red Siberian),2/22/2015,tomato.png,
1.3.0.5.1,Tomato (Siberian),1/6/2015,tomato.png,
1.3.0.5.3,Not Planted,,,
1.3.0.6.0,Not Planted,,,
1.3.0.6.2,Not Planted,,,
1.3.0.6.4,Not Planted,,,
1.3.0.7.1,Tomato (Red Siberian),2/22/2015,tomato.png,
1.3.0.7.3,Tomato (Siberian),1/6/2015,tomato.png,
1.3.0.8.0,Not Planted,,,
1.3.0.8.2,Not Planted,,,
1.3.0.8.4,Not Planted,,,
1.3.0.9.1,Tomato (Siberian),1/6/2015,tomato.png,
1.3.0.9.3,Not Planted,,,
1.3.0.10.0,Tomato (Red Siberian),2/22/2015,tomato.png,
1.3.0.10.2,Not Planted,,,
1.3.0.10.4,Tomato (Red Siberian),2/22/2015,tomato.png,
1.3.1.0.0,Not Planted,,,
1.3.1.0.2,Broccoli (Green Sprout),1/6/2015,broccoli.png,
1.3.1.0.4,Broccoli (Green Sprout),1/6/2015,broccoli.png,
1.3.1.1.1,Not Planted,,,
1.3.1.1.3,Not Planted,,,
1.3.1.2.0,Broccoli (Green Sprout),1/6/2015,broccoli.png,
1.3.1.2.2,Not Planted,,,
1.3.1.2.4,Broccoli (Green Sprout),1/6/2015,broccoli.png,
1.3.1.3.1,Not Planted,,,
1.3.1.3.3,Not Planted,,,
1.3.1.4.0,Not Planted,,,
1.3.1.4.2,Broccoli (Purple Sprout),1/6/2015,broccoli.png,
1.3.1.4.4,Broccoli (Purple Sprout),1/6/2015,broccoli.png,
1.3.1.5.1,Not Planted,,,
1.3.1.5.3,Not Planted,,,
1.3.1.6.0,Broccoli (Purple Sprout),1/6/2015,broccoli.png,
1.3.1.6.2,Not Planted,,,
1.3.1.6.4,Broccoli (Purple Sprout),1/6/2015,broccoli.png,
1.3.1.7.1,Not Planted,,,
1.3.1.7.3,Not Planted,,,
1.3.1.8.0,Not Planted,,,
1.3.1.8.2,Not Planted,,,
1.3.1.8.4,Broccoli (Purple Sprout),1/6/2015,broccoli.png,
1.3.1.9.1,Broccoli (Purple Sprout),1/6/2015,broccoli.png,
1.3.1.9.3,Not Planted,,,
1.3.1.10.0,Not Planted,,,
1.3.1.10.2,Not Planted,,,
1.3.1.10.4,Not Planted,,,
1.4.0.0.0,Cotton (UA 222),1/6/2015,cotton.png,
1.4.0.0.2,Not Planted,,,
1.4.0.0.4,Cotton (UA 222),1/6/2015,cotton.png,
1.4.0.1.1,Cotton (UA 222),1/6/2015,cotton.png,
1.4.0.1.3,Cotton (UA 222),1/6/2015,cotton.png,
1.4.0.2.0,Not Planted,,,
1.4.0.2.2,Not Planted,,,
1.4.0.2.4,Not Planted,,,
1.4.0.3.1,Not Planted,,,
1.4.0.3.3,Cotton (UA 222),1/6/2015,cotton.png,
1.4.0.4.0,Cotton (UA 222),1/6/2015,cotton.png,
1.4.0.4.2,Not Planted,,,
1.4.0.4.4,Not Planted,,,
1.4.0.5.1,Not Planted,,,
1.4.0.5.3,Not Planted,,,
1.4.0.6.0,Not Planted,,,
1.4.0.6.2,Cotton (UA 48),1/6/2015,cotton.png,
1.4.0.6.4,Not Planted,,,
1.4.0.7.1,Cotton (UA 48),1/6/2015,cotton.png,
1.4.0.7.3,Not Planted,,,
1.4.0.8.0,Not Planted,,,
1.4.0.8.2,Not Planted,,,
1.4.0.8.4,Cotton (UA 48),1/6/2015,cotton.png,
1.4.0.9.1,Cotton (UA 48),1/6/2015,cotton.png,
1.4.0.9.3,Not Planted,,,
1.4.0.10.0,Cotton (UA 48),1/6/2015,cotton.png,
1.4.0.10.2,Not Planted,,,
1.4.0.10.4,Cotton (UA 48),1/6/2015,cotton.png,
2.0.0.0.0,Not Planted,,,
2.0.0.0.2,Not Planted,,,
2.0.0.0.4,Not Planted,,,
2.0.0.1.1,Not Planted,,,
2.0.0.1.3,Not Planted,,,
2.0.0.2.0,Not Planted,,,
2.0.0.2.2,Not Planted,,,
2.0.0.2.4,Not Planted,,,
2.0.0.3.1,Not Planted,,,
2.0.0.3.3,Not Planted,,,
